OCC_CODE	OCC_TITLE	O_GROUP	TOT_EMP
00-0000	All Occupations	total	"140,886,310"
11-0000	Management Occupations	major	"8,909,910"
11-1000	Top Executives	minor	"3,229,990"
11-1010	Chief Executives	broad	"200,480"
11-1011	Chief Executives	detailed	"200,480"
11-1020	General and Operations Managers	broad	"2,984,920"
11-1021	General and Operations Managers	detailed	"2,984,920"
11-1030	Legislators	broad	"44,590"
11-1031	Legislators	detailed	"44,590"
11-2000	"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"	minor	"838,050"
11-2010	Advertising and Promotions Managers	broad	"22,520"
11-2011	Advertising and Promotions Managers	detailed	"22,520"
11-2020	Marketing and Sales Managers	broad	"732,490"
11-2021	Marketing Managers	detailed	"278,690"
11-2022	Sales Managers	detailed	"453,800"
11-2030	Public Relations and Fundraising Managers	broad	"83,040"
11-2032	Public Relations Managers	detailed	"59,850"
11-2033	Fundraising Managers	detailed	"23,190"
11-3000	Operations Specialties Managers	minor	"2,116,020"
11-3010	Administrative Services and Facilities Managers	broad	"325,850"
11-3012	Administrative Services Managers	detailed	"224,620"
11-3013	Facilities Managers	detailed	"101,230"
11-3020	Computer and Information Systems Managers	broad	"485,190"
11-3021	Computer and Information Systems Managers	detailed	"485,190"
11-3030	Financial Managers	broad	"681,070"
11-3031	Financial Managers	detailed	"681,070"
11-3050	Industrial Production Managers	broad	"192,270"
11-3051	Industrial Production Managers	detailed	"192,270"
11-3060	Purchasing Managers	broad	"69,310"
11-3061	Purchasing Managers	detailed	"69,310"
11-3070	"Transportation, Storage, and Distribution Managers"	broad	"144,640"
11-3071	"Transportation, Storage, and Distribution Managers"	detailed	"144,640"
11-3110	Compensation and Benefits Managers	broad	"15,330"
11-3111	Compensation and Benefits Managers	detailed	"15,330"
11-3120	Human Resources Managers	broad	"166,530"
11-3121	Human Resources Managers	detailed	"166,530"
11-3130	Training and Development Managers	broad	"35,830"
11-3131	Training and Development Managers	detailed	"35,830"
11-9000	Other Management Occupations	minor	"2,725,860"
11-9010	"Farmers, Ranchers, and Other Agricultural Managers"	broad	"5,220"
11-9013	"Farmers, Ranchers, and Other Agricultural Managers"	detailed	"5,220"
11-9020	Construction Managers	broad	"284,750"
11-9021	Construction Managers	detailed	"284,750"
11-9030	Education and Childcare Administrators	broad	"537,100"
11-9031	"Education and Childcare Administrators, Preschool and Daycare"	detailed	"56,430"
11-9032	"Education Administrators, Kindergarten through Secondary"	detailed	"274,710"
11-9033	"Education Administrators, Postsecondary"	detailed	"155,990"
11-9039	"Education Administrators, All Other"	detailed	"49,970"
11-9040	Architectural and Engineering Managers	broad	"187,100"
11-9041	Architectural and Engineering Managers	detailed	"187,100"
11-9050	Food Service Managers	broad	"210,680"
11-9051	Food Service Managers	detailed	"210,680"
11-9070	Entertainment and Recreation Managers	broad	"21,460"
